entry,at,order
"The player ""Jack @ xW_i7C6BNV"" quits the game with a stack of 3625.",2023-11-28T16:04:00.833Z,170118744083300
"The player ""Jack @ xW_i7C6BNV"" sit back with the stack of 3625.",2023-11-28T16:03:55.312Z,170118743531200
"The player ""Slan @ 3SrqFtH-Dr"" quits the game with a stack of 6375.",2023-11-28T00:12:43.747Z,170113036374700
"The player ""Jack @ xW_i7C6BNV"" stand up with the stack of 3625.",2023-11-28T00:11:48.725Z,170113030872500
"""Slan @ 3SrqFtH-Dr"" shows a 2♦, 2♣.",2023-11-28T00:11:46.598Z,170113030659800
"-- ending hand #12 --",2023-11-28T00:11:45.118Z,170113030511802
"""Slan @ 3SrqFtH-Dr"" collected 20 from pot",2023-11-28T00:11:45.118Z,170113030511801
"Uncalled bet of 10 returned to ""Slan @ 3SrqFtH-Dr""",2023-11-28T00:11:45.118Z,170113030511800
"""Jack @ xW_i7C6BNV"" folds",2023-11-28T00:11:44.224Z,170113030422400
"""Slan @ 3SrqFtH-Dr"" posts a big blind of 20",2023-11-28T00:11:41.517Z,170113030151705
"""Jack @ xW_i7C6BNV"" posts a small blind of 10",2023-11-28T00:11:41.517Z,170113030151704
"Player stacks: #1 ""Jack @ xW_i7C6BNV"" (3635) | #2 ""Slan @ 3SrqFtH-Dr"" (6365)",2023-11-28T00:11:41.517Z,170113030151701
"-- starting hand #12 (id: 9cravetmk76u)  (No Limit Texas Hold'em) (dealer: ""Jack @ xW_i7C6BNV"") --",2023-11-28T00:11:41.517Z,170113030151700
"""Jack @ xW_i7C6BNV"" shows a K♠, 5♥.",2023-11-28T00:11:39.171Z,170113029917100
"""Slan @ 3SrqFtH-Dr"" shows a 5♣, 6♥.",2023-11-28T00:11:38.448Z,170113029844800
"-- ending hand #11 --",2023-11-28T00:11:37.199Z,170113029719901
"""Slan @ 3SrqFtH-Dr"" collected 3040 from pot",2023-11-28T00:11:37.199Z,170113029719900
"""Jack @ xW_i7C6BNV"" folds",2023-11-28T00:11:36.394Z,170113029639400
"River: Q♥, 2♣, K♦, 9♦ [4♣]",2023-11-28T00:11:33.596Z,170113029359600
"""Slan @ 3SrqFtH-Dr"" checks",2023-11-28T00:11:32.719Z,170113029271900
"""Jack @ xW_i7C6BNV"" checks",2023-11-28T00:11:31.888Z,170113029188800
